id,City,longitude,latitude
231,Bagnoles-de-l'Orne,"-0,415091","48,558,399"
232,Saint-Martin-de-Landelles,"-1,172,382","48,546,107"
233,Lanester,"-3,347,354","47,763,494"
234,Bazas,"-0,211464","44,430,624"
235,Lod�ve,"3,313,975","4,373,366"
236,Les Deux Alpes,"61,248,743","45,176,294"
237,Aime,"-739,960,432","40,720,603"
238,Cluses,"6,580,582","466,039"
239,R�gni�-Durette,"464,105","46,136,803"
240,Melun,"26,554","48,542,105"
241,Saint-Omer,"2,252,208","50,750,115"
242,Calais,"1,858,686","5,095,129"
243,Verdun,"53,844,231","491,598,764"
244,Commercy,"5,592,348","48,763,802"
245,Aix-les-Bains,"5,908,998","45,692,341"
246,Perpignan,"28,948,332","426,886,591"
247,Brive-la-Gaillarde,"1,533,937","45,159,555"
248,Montlu�on,"26,019,912","463,415,466"
249,Orl�ans,"1,909,251","47,902,964"
250,Futuroscope,"0,3697581","466,698,573"
251,Loudun,"0,083183","4,789,674"
252,Nantes,"-1,553,621","47,218,371"
253,Vitr�,"-121,543","48,124,746"
254,Agen,"-946,039,222","39,957,618"
255,Carpentras,"5,048,722","44,555,639"
256,Avignon,"4,805,528","43,949,317"
257,Draguignan,"6,464,993","435,377,269"
258,�vian-les-Bains,"6,590,949","46,401,488"
259,Lausanne,"66,322,734","465,196,535"
260,Freiburg,"78,421,043","479,990,077"
261,Le Puy du Fou,"-0,9281158","468,896,024"
262,Montaigu,"-1,313,777","46,974,347"
263,Laval,"-73,712,409","456,066,487"
264,Avesnes-sur-Helpe,"3,926,864","50,123,589"
265,Sestri�res,"68,790,861","449,578,505"
266,Saint-Galmier,"4,318,391","45,590,322"
267,Jonzac,"-0,431058","45,445,368"
268,Arpajon,"2,246,237","48,589,172"
269,Dublin,"-62,603,097","533,498,053"
270,Enniscorthy,"-65,727,721","525,031,135"
271,Roscoff,"-3,985,325","48,726,199"
272,Plouay,"-3,334,565","47,915,138"
273,La Ch�tre,"1,986,165","46,581,832"
274,Meyrignac-l'�glise,"1,854,589","45,399,074"
275,Montauban,"13,529,599","44,221,252"
276,Tarascon-sur-Ari�ge,"1,604,815","42,848,524"
277,Frontignan la Peyrade,"3,726,749","43,427,008"
278,Vizille,"5,772,412","4,577,318"
279,La Chaux-de-Fonds,"68,327,838","471,034,892"
280,Montceau-les-Mines,"4,362,979","4,667,413"
281,Saint-Valery-en-Caux,"0,708557","49,860,582"
282,Vire,"-0,888482","48,837,781"
283,Plumelec,"-2,639,409","47,837,699"
284,Chantonnay,"-1,050,176","466,870,819"
285,Le Blanc,"-867,529,347","211,260,383"
286,Marennes,"-1,103,998","45,823,752"
287,Sauternes,"-0,343268","44,531,032"
288,Andorra Arcalis,"14,992,993","426,313,635"
289,Fribourg,"71,619,719","468,064,773"
290,Montb�liard,"6,798,466","47,510,356"
291,Disneyland Paris,"27,758,079","488,722,344"
292,'s-Hertogenbosch,"53,036,748","516,978,162"
293,Wasquehal,"3,130,782","50,669,276"
294,Lac de Madine,"5,736,175","489,216,184"
295,Le Mon�tier-les-Bains,"6,507,839","44,976,254"
296,Turin,"7,686,864","45,703,393"
297,Valence,"-947,349,372","365,983,395"
298,Besse,"29,012,932","454,978,927"
299,Argel�s-Gazost,"-0,101087","435,028"
300,Pamplona,"-16,457,745","42,812,526"
301,Hendaye,"-1,766,148","43,359,399"
302,Palaiseau,"2,245,748","48,714,509"
303,Saint-Brieuc,"-2,765,835","4,851,418"
304,Perros-Guirec,"-3,444,943","48,815,456"
305,Mayenne,"-0,6185636","483,050,874"
306,Alen�on,"0,091266","48,432,856"
307,F�camp,"0,380774","49,755,601"
308,La Plagne,"66,765,547","455,082,417"
309,Saint-Orens-de-Gameville,"1,533,877","43,551,879"
310,Montpon-M�nest�rol,"0,162","459,274"
311,Lac de Vassivi�re,"1,879,167","45,797,222"
312,Sainte-Genevi�ve-des-Bois,"23,259,213","486,408,416"
313,Lille,"3,057,256","5,062,925"
314,Roubaix,"3,177,847","506,927,049"
315,Dover,"13,134,027","511,278,758"
316,Portsmouth,"-707,625,532","43,717,552"
317,Cherbourg,"-1,622,137","496,337,308"
318,Poitiers,"0,340375","46,580,224"
319,Lourdes,"-0,045726","4,391,463"
320,Moutiers,"6,529,926","45,484,615"
321,Lu�on,"-1,167,062","46,454,772"
322,Les Sables-d'Olonne,"-1,795,493","46,492,958"
323,Dinard,"-2,055,125","48,633,024"
324,�vreux,"1,151,361","49,270,129"
325,P�ronne,"2,933,353","49,933,071"
326,Ch�lons-sur-Marne,"4,363,073","48,956,682"
327,Villard-de-Lans,"555,227","4,570,641"
328,Serre Chevalier,"6,559,389","44,946,226"
329,Isola,"-959,195,026","36,727,771"
330,Andorra,"1,521,801","42,506,285"
331,Br�tigny-sur-Orge,"230,604","48,611,486"
332,Viry-Ch�tillon,"2,375,902","48,666,218"
333,San Sebasti�n,"-19,812,313","43,318,334"
334,Libourne,"-0,243985","44,912,998"
335,Nogent-sur-Oise,"2,464,688","49,278,948"
336,Valkenburg,"58,320,514","508,652,306"
337,St Gervais,"6,712,187","45,892,013"
338,Sestriere,"68,790,861","449,578,505"
339,La Bourboule,"2,738,992","45,587,241"
340,Blois,"13,359,475","475,860,921"
341,La D�fense,"22,418,428","488,897,359"
342,Bron,"4,911,927","45,733,316"
343,Villeurbanne,"48,901,709","45,771,944"
344,Dijon,"504,148","47,322,047"
345,Reims,"4,031,696","49,258,329"
346,Le Havre,"0,107929","4,949,437"
347,Argentan,"-0,016566","48,744,001"
348,Quimper,"-4,097,899","47,997,542"
349,Jaca,"-0,5470554","425,717,166"
350,St Gaudens,"-723,687,458","435,010,949"
351,Al�s,"4,083,352","44,127,204"
352,Lugny,"480,982","46,471,672"
353,Sarrebourg,"7,052,587","48,732,663"
354,�pinal,"6,449,403","48,172,402"
355,Geneva,"61,431,577","462,043,907"
356,Saint-Gervais,"6,712,187","45,892,013"
357,Fontaine,"-945,981,928","39,399,534"
358,Millau,"3,077,801","44,100,575"
359,Castillon-la-Bataille,"-0,043008","44,852,067"
360,Labastide-d'Armagnac,"-0,18562","43,969,386"
361,Cauterets,"-0,114246","42,889,054"
362,Pornichet,"-2,340,571","47,263,426"
363,Pontch�teau,"-2,089,536","47,436,929"
364,La Haie-Fouassi�re,"-1,399,547","471,556"
365,Neufch�tel-en-Bray,"1,441,891","49,732,771"
366,Li�vin,"2,775,222","50,417,921"
367,Nancy,"6,184,417","48,692,054"
368,Luz Ardiden,"-0,002869","42,873,542"
369,Ruelle-sur-Touvre,"0,219218","456,767,619"
370,Clermont-Ferrand,"3,087,025","45,777,222"
371,Santenay,"4,696,534","46,912,833"
372,Nemours,"-815,220,666","301,423,595"
373,West Berlin,"13,404,954","525,200,066"
374,Karlsruhe,"84,036,527","4,968,901"
375,Stuttgart,"91,829,321","487,758,459"
376,Brive,"1,533,937","45,159,555"
377,Bayonne,"-741,143,091","406,687,141"
378,Saint-Julien-en-Genevois,"6,081,338","46,144,516"
379,Boulogne-Billancourt,"22,399,123","488,396,952"
380,Nanterre,"2,215,331","48,892,423"
381,Meudon,"223,847","48,812,995"
382,Levallois-Perret,"2,287,864","48,893,217"
383,Evreux,"1,151,361","49,270,129"
384,Villers-sur-Mer,"-0,005321","49,321,744"
385,Saint-Hilaire-du-Harcou�t,"-1,092,034","48,577,086"
386,Superbagn�res,"0,576818","42,768,789"
387,Cosne-sur-Loire,"29,252,801","473,824,086"
388,Vitre,"-121,543","48,124,746"
389,Morzine Avoriaz,"6,775,103","4,618,823"
390,Autrans,"5,542,716","45,176,098"
391,Luz-Saint-Sauveur,"-0,002869","42,873,542"
392,Laruns,"-0,426274","42,987,644"
393,Montreuil,"2,448,451","48,863,812"
394,Bondy,"2,481,875","48,906,008"
395,Bobigny,"2,439,712","48,908,612"
396,Louvroil,"3,959,502","5,026,374"
397,Valenciennes,"3,518,332","50,357,113"
398,B�thune,"263,926","50,531,036"
399,Cergy-Pontoise,"2,100,645","4,950,966"
400,Langon,"-0,245126","44,555,419"
401,Domaine du Rouret,"42,763,828","443,812,849"
402,Les �chelles,"5,753,686","45,436,571"
403,Crans-Montana,"7,498,439","463,425,654"
404,Villi�-Morgon,"4,679,334","46,160,931"
405,Pantin,"240,963","48,894,533"
406,Fontenay-sous-Bois,"2,475,907","48,851,542"
407,Nogent-sur-Marne,"2,481,699","48,837,631"
408,La Rochelle,"-1,151,139","46,160,329"
409,Fleurance,"0,6632439","43,849,456"
410,Roquefort-sur-Soulzon,"2,992,022","43,974,566"
411,La Tour-du-Pin,"5,445,327","45,564,026"
412,Alfortville,"2,422,317","4,880,093"
413,Basel,"75,885,761","475,595,986"
414,Beauraing,"49,554,347","501,102,813"
415,Cancale,"-1,852,279","4,867,707"
416,Concarneau,"-3,920,734","47,872,834"
417,Saintes,"-0,633389","45,744,175"
418,Valence d'Agen,"0,890241","44,108,057"
419,Martigues,"5,053,728","43,404,811"
420,Manosque,"5,790,916","43,835,744"
421,Orci�res-Merlette,"6,320,161","446,952,209"
422,Saint-Priest,"4,947,071","45,698,938"
423,Sens,"-1,223,958,876","377,949,305"
424,Nay,"-959,279,506","36,675,192"
425,Rochefort,"-0,961697","45,936,698"
426,Compi�gne,"2,826,145","49,417,816"
427,Beringen,"521,862","514,793"
428,Thonon-les-Bains,"6,477,635","46,373,565"
429,Veurey,"5,612,813","45,272,154"
430,Auxerre,"3,573,781","47,798,202"
431,Frankfurt,"86,821,267","501,109,221"
432,Wiesbaden,"82,397,608","50,782,184"
433,Spa,"-959,934,026","361,585,288"
434,Flers,"-0,575794","48,750,059"
435,Damazan,"0,276419","442,905"
436,L�zignan-Corbi�res,"27,577,759","43,200,503"
437,Trets,"56,841,549","43,446,909"
438,Voreppe,"5,637,517","45,298,156"
439,Captieux,"-0,261723","44,291,534"
440,Neuville-de-Poitou,"0,246918","46,685,934"
441,Angers,"-0,5518257","474,711,616"
442,Deauville,"0,075122","49,353,976"
443,Les Menuires,"65,378,609","453,231,688"
444,Alpe d'Huez,"60,647,688","45,909,056"
445,Le Perreux-sur-Marne,"2,504,038","48,841,386"
446,Leiden,"44,970,097","521,601,144"
447,Sint Willebrord,"45,897,498","515,517,785"
448,Saint-Amand-les-Eaux,"3,428,713","50,448,979"
449,Caen,"-0,370679","49,182,863"
450,Maz�-Montgeoffroy,"-0,276077","47,469,126"
451,Saint-�milion,"-0,155729","44,894,387"
452,Biarritz,"-1,558,626","434,831,519"
453,Besse-en-Chandesse,"29,012,932","454,978,927"
454,Saint-Dier-d'Auvergne,"3,482,832","456,755,629"
455,St-�tienne,"43,871,779","45,439,695"
456,Epernay,"3,956,242","4,943,411"
457,Saint Germain en Laye,"2,093,761","48,898,908"
458,Auch,"-832,906,503","426,404,961"
459,Oloron-Sainte-Marie,"-0,605292","43,194,413"
460,Vitoria-Gasteiz,"-26,817,918","428,591,656"
461,Morcenx,"-0,911249","4,433,654"
462,Jaunay-Clan,"0,375076","46,683,763"
463,Altkirch ,"7,243,036","47,620,391"
464,Chamonix,"6,869,433","45,923,697"
465,Rossignol Voiron,"5,606,234","4,531,925"
466,Saint-Trivier-sur-Moignans,"48,978,659","4,671,955"
467,Saint-Jean-de-Monts,"-20,617,863","46,793,464"
468,Leuven,"47,005,176","508,798,438"
469,Bastogne,"57,152,802","505,062"
470,Valentigney,"6,837,516","474,614,199"
471,Divonne-les-Bains,"613,604","46,358,168"
472,Montgen�vre,"6,722,136","44,930,787"
473,Le Barcar�s,"3,036,565","4,278,773"
474,Font-Romeu-Odeillo-Via,"20,322,172","425,182,933"
475,Saint-Lary-Soulan,"0,320251","42,815,835"
476,Lacanau,"-1,075,745","44,978,459"
477,Sainte-Foy-la-Grande,"0,215006","44,841,805"
478,Tulle,"1,771,697","4,526,565"
479,Molenbeek,"43,303,277","508,522,009"
480,Sabl�-sur-Sarthe,"-0,3334185","478,404,856"
481,Merlin-Plage,"467,552,609","-2,306,027"
482,Saint-Gilles-Croix-de-Vie,"-1,944,529","46,697,777"
483,Angoul�me,"0,1562369","45,648,377"
484,Barcelonnette,"6,650,463","443,863"
485,Valloire,"6,428,733","45,165,292"
486,Pouilly-en-Auxois,"4,556,286","47,262,495"
487,Plymouth,"-706,672,621","419,584,457"
488,Morlaix,"-3,828,228","48,577,613"
489,Dieppe,"1,077,483","49,922,992"
490,Harelbeke,"33,106,757","508,567,031"
491,Mons,"3,956,659","504,542,408"
